group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
1,TFAP2E,-0.14610282,0.8790011,0.8838402212481721,0.9207760246637696,1.0,1.0
1,WDR24,-0.14661396,0.8312649,0.8834367372032084,0.9207760246637696,1.0,1.0
1,AL136441.1,-0.14790097,0.8683463,0.8824209238539914,0.9201730040065629,1.0,1.0
1,AC002310.1,-0.1495593,0.64105576,0.8811123205321608,0.9190912998654436,1.0,1.0
1,LINC01844,-0.15219522,0.8503091,0.8790329707094551,0.9172047135089725,1.0,1.0
1,KCND1,-0.1533745,0.8842833,0.8781029568708026,0.916816946800848,1.0,1.0
1,ZNF429,-0.15534341,,0.8765505978608829,0.9160251158398122,1.0,1.0
1,HIST1H4D,-0.15600468,0.8403347,0.876029335525428,0.9158553923873398,1.0,1.0
1,C21orf91-OT1,-0.15640809,1.2739903,0.8757113647920618,0.9158553923873398,1.0,1.0
1,MAGEE1,-0.16407056,0.93551797,0.8696755945435206,0.911088718093212,1.0,1.0
1,KRBA1,-0.16548938,0.96758735,0.8685588148539712,0.9102002056063268,1.0,1.0
1,LINC01376,-0.1657438,0.011570875,0.8683585799202524,0.9102002056063268,1.0,1.0
1,DZIP3,-0.17006668,,0.8649576907577132,0.9069875135521921,1.0,1.0
1,ALG1L9P,-0.17401367,1.0585314,0.8618547123185112,0.9045736571670123,1.0,1.0
1,TP63,-0.17507492,1.0171475,0.8610207654230951,0.904258633990529,1.0,1.0
1,ZNF253,-0.17834574,,0.8584514584312062,0.9021195847285752,1.0,1.0
1,ZNF503-AS2,-0.17888439,0.5611968,0.8580284849835806,0.9019548579349584,1.0,1.0
1,USP12-AS1,-0.18026422,1.4970071,0.8569451392029701,0.9010956336498023,1.0,1.0
1,LINC02754,-0.18322791,0.9368967,0.8546191986342502,0.8994873702928983,1.0,1.0
1,AL162497.1,-0.1832703,1.0882488,0.8545859286310098,0.8994873702928983,1.0,1.0
1,MATN1,-0.18360496,0.90624017,0.8543233744386474,0.8994873702928983,1.0,1.0
1,ZNF658,-0.19165021,0.6709627,0.8480162052472308,0.8944828466306407,1.0,1.0
